PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,NATUREZA,VALOR,QUANTIDADE,TICKET_MEDIO
1,2,4,1,4,1,7,25509541180000.0,83239000,306461.408474393
1,1,0,2,7,4,9,76557490000.0,71000,1078274.5070422536
1,1,2,0,7,3,9,137579480000.0,1423000,96682.69852424455
1,1,2,4,6,0,9,10000000.0,1000,10000.0
1,1,4,3,7,5,9,70952770000.0,202000,351251.3366336634
2,2,1,5,1,1,3,154110000.0,1000,154110.0
1,1,2,3,7,4,9,1886550000.0,47000,40139.36170212766
1,1,1,1,3,0,9,1209510000.0,38000,31829.21052631579
2,1,4,1,1,6,2,2239557030000.0,20739000,107987.70577173441
1,1,5,2,6,6,9,46578590000.0,1279000,36417.97498045348
1,1,0,1,6,3,9,1107519170000.0,17731000,62462.30725847386
1,1,5,1,3,3,9,564438260000.0,18129000,31134.550168238733
1,1,1,1,7,6,9,895020610000.0,2797000,319993.067572399
1,1,4,0,3,3,9,1344287410000.0,25794000,52116.28324416531
1,1,0,5,4,6,9,19815374490000.0,45540000,435120.21277997363
1,1,2,3,2,5,9,40279790000.0,396000,101716.64141414141
1,2,0,5,4,1,7,39423958270000.0,206515000,190901.18524078155
1,1,0,1,5,7,9,7865176200000.0,14989000,524729.8819134032
1,1,4,0,3,5,9,43679262740000.0,166399000,262497.1468578537
1,1,5,5,4,6,9,1120769817040000.0,3602912000,311073.32542121486
2,2,2,0,1,1,1,3111660000.0,23000,135289.5652173913
1,1,3,4,6,6,9,17806450000.0,313000,56889.61661341853
1,2,5,0,4,1,7,3983597820000.0,8057000,494426.9355839643
1,1,5,0,3,3,9,22307424310000.0,114173000,195382.6588598005
1,2,2,1,2,1,8,21377720000.0,108000,197941.85185185185
1,1,1,2,7,3,9,78073940000.0,1754000,44511.93842645382
2,2,5,2,1,1,1,5628525890000.0,2210000,2546844.294117647
2,1,1,3,1,4,2,871099370000.0,1182000,736970.7021996616
2,1,3,0,1,2,2,7040790000.0,38000,185283.94736842104
1,1,4,2,3,3,9,7812871270000.0,57982000,134746.4949467076
1,1,0,4,3,6,9,660739300000.0,22672000,29143.405963302754
1,1,3,4,3,7,9,2446140000.0,12000,203845.0
1,2,4,2,3,1,7,11885570000.0,33000,360168.7878787879
1,2,3,1,3,1,7,2884873390000.0,3560000,810357.6938202247
1,1,4,4,7,6,9,31699866430000.0,357298000,88721.08556443082
1,1,4,1,4,6,9,349376010000.0,1247000,280173.2237369687
1,1,4,2,5,4,9,1060364250000.0,21339000,49691.374947279626
1,2,0,5,6,1,7,15871732660000.0,94381000,168166.60832159015
1,1,0,2,2,4,9,225981120000.0,7329000,30833.827261563652
1,2,5,1,2,1,8,10533850000.0,36000,292606.94444444444
1,1,1,3,4,6,9,2112907150000.0,3301000,640080.9300212057
1,1,2,2,6,7,9,3880855160000.0,129113000,30057.818809879718
1,2,2,2,4,1,8,466483730000.0,923000,505399.49079089926
1,1,1,0,6,6,9,431610600000.0,8485000,50867.48379493223
1,2,4,5,2,1,7,176500000.0,2000,88250.0
1,1,5,2,7,2,9,2093950000.0,36000,58165.27777777778
1,1,4,3,4,7,9,17167900000.0,12000,1430658.3333333333
1,2,5,5,3,1,7,73664460000.0,538000,136922.7881040892
2,1,4,4,1,0,2,3073179420000.0,914000,3362340.7221006565
2,1,1,5,1,4,2,98457690000.0,1269000,77586.83215130023
1,1,5,0,3,5,9,70922950000.0,215000,329874.18604651163
1,2,1,4,6,1,8,8348680000.0,36000,231907.77777777778
1,2,4,3,5,1,7,4834460000.0,41000,117913.65853658537
1,1,0,1,2,4,9,89691780000.0,875000,102504.89142857143
1,1,2,4,3,2,9,199340150000.0,6266000,31812.982764123844
1,2,4,0,6,1,8,5806610000.0,85000,68313.05882352941
1,2,4,5,7,1,7,173532433720000.0,133144000,1303344.0013819623
1,1,4,1,5,3,9,5155615110000.0,143920000,35822.78425514175
1,1,0,2,3,7,9,2121510460000.0,5366000,395361.62131941854
1,1,1,4,0,6,9,2116660000.0,9000,235184.44444444444
1,1,0,4,6,5,9,8386131580000.0,21598000,388282.7845170849
1,1,4,3,6,2,9,257150000.0,7000,36735.71428571428
1,1,4,2,2,7,9,36004100000.0,2123000,16959.067357512955
1,1,2,1,7,6,9,1452123590000.0,6128000,236965.3377937337
1,1,2,2,2,3,9,1235481230000.0,13101000,94304.34546981147
1,1,2,1,5,5,9,63497406920000.0,237481000,267378.89313250326
1,2,3,1,4,1,8,163100000.0,5000,32620.0
1,1,3,5,7,3,9,8700750000.0,34000,255904.41176470587
1,1,0,4,6,6,9,55077591680000.0,106790000,515756.0790336174
1,1,3,4,7,4,9,66513780000.0,181000,367479.44751381216
1,2,1,4,4,1,7,4639509254820000.0,77056999000,60208.797578789694
1,1,4,3,4,4,9,9202092910000.0,15922000,577948.3048611983
2,2,2,2,1,1,0,1.02790842724e+16,3999223000,2570270.3431141498
1,1,2,0,3,2,9,30918280000.0,671000,46077.913561847985
1,1,2,3,4,5,9,436545990000.0,2829000,154311.06044538706
2,1,3,1,1,3,2,476260780000.0,5789000,82269.95681464847
1,1,4,1,6,5,9,189896116640000.0,707748000,268310.3543069002
1,1,1,4,3,5,9,45499950830000.0,325102000,139955.92407921207
1,1,5,2,6,4,9,90506370000.0,2350000,38513.348936170216
1,1,3,4,2,5,9,20989140000.0,123000,170643.41463414635
2,1,2,3,1,6,2,14478440000.0,52000,278431.53846153844
1,1,0,3,6,5,9,394133410000.0,506000,778919.7826086957
2,1,5,0,1,4,5,7852580000.0,5000,1570516.0
2,1,3,1,1,6,2,219205010000.0,2875000,76245.22086956522
1,2,5,5,6,1,7,6250000000.0,28000,223214.2857142857
1,1,1,1,3,3,9,76079179810000.0,2743270000,27733.02657412504
1,1,4,5,2,5,9,6320299510000.0,48554000,130170.52168719364
1,2,0,0,5,1,7,6782850000.0,44000,154155.68181818182
1,1,4,0,5,6,9,11162193720000.0,20056000,556551.3422417232
1,2,1,0,4,1,8,72361660000.0,993000,72871.76233635448
1,1,3,1,7,6,9,10000000.0,1000,10000.0
1,1,2,5,6,5,9,118662410000.0,2788000,42561.8400286944
1,2,1,2,6,1,8,3609640000.0,15000,240642.66666666666
2,2,5,4,1,1,0,8278839601580000.0,881937000,9387109.96542837
1,1,3,5,5,6,9,17892030000.0,339000,52778.849557522124
1,2,5,3,5,1,7,5525250000.0,44000,125573.86363636363
2,1,5,5,1,3,2,9691243540000.0,121885000,79511.37170283464
1,1,0,0,2,7,9,1853534440000.0,74670000,24823.01379402705
1,1,5,0,6,5,9,62923200060000.0,39514000,1592428.001720909
1,2,3,5,0,1,7,130000.0,13000,10.0
1,2,1,4,7,1,8,1759437650000.0,1870000,940875.7486631016
1,2,3,5,6,1,7,155000000.0,3000,51666.666666666664
1,1,2,5,2,5,9,385012080000.0,3210000,119941.45794392523
1,1,2,5,6,3,9,70835570000.0,2149000,32962.10795718939
1,1,4,1,3,4,9,5905250260000.0,233410000,25299.902574868258
1,1,2,5,2,7,9,173306610000.0,865000,200354.46242774566
1,2,0,5,3,1,8,17144700000.0,32000,535771.875
1,1,5,0,5,4,9,354598170000.0,7123000,49782.13814404043
1,1,4,3,4,0,9,3719510000.0,56000,66419.82142857143
2,1,5,2,1,5,2,93574980000.0,1838000,50911.30576713819
1,1,0,0,6,2,9,507131150000.0,11893000,42641.14605229967
2,1,1,4,1,4,2,92940402560000.0,202019000,460057.7300154936
1,1,5,0,7,7,9,27112360000.0,356000,76158.31460674158
1,1,4,5,7,2,9,154359060000.0,866000,178243.7182448037
1,1,2,3,3,2,9,151400000.0,5000,30280.0
1,2,4,3,2,1,7,339000000.0,6000,56500.0
2,1,2,5,1,3,2,23691690000.0,184000,128759.18478260869
2,1,3,0,1,6,2,25305370000.0,174000,145433.16091954024
1,1,2,3,5,3,9,2562170000.0,94000,27257.127659574468
2,1,1,2,1,4,2,28041606430000.0,71300000,393290.41276297334
1,1,1,0,4,4,9,110756918500000.0,525242000,210868.35877557393
1,1,1,2,7,7,9,39896530000.0,1003000,39777.198404785646
2,1,2,0,1,6,2,72424103270000.0,86305000,839164.6285846706
1,1,1,1,0,0,9,9863500000.0,25000,394540.0
1,2,2,5,5,1,7,173554600000.0,88000,1972211.3636363635
1,1,0,1,3,3,9,2372850620000.0,56294000,42151.03954240239
1,1,4,5,2,2,9,140596110000.0,12018000,11698.794308537194
2,1,1,0,1,6,2,71611871470000.0,202301000,353986.73990736576
2,1,5,1,1,6,5,11522810000.0,175000,65844.62857142858
1,2,4,0,7,1,8,4497600000.0,1000,4497600.0
1,1,0,5,4,2,9,30087320000.0,699000,43043.37625178827
1,1,0,5,7,2,9,1682096190000.0,5343000,314822.4199887703
1,2,0,1,3,1,8,35000000.0,2000,17500.0
1,1,1,5,7,3,9,8003270000.0,59000,135648.64406779662
1,2,5,2,3,1,7,971460650000.0,3186000,304915.458254865
2,1,5,4,1,5,2,639172187210000.0,1453113000,439864.06233376206
1,1,1,2,3,3,9,379233400000.0,2287000,165821.33799737648
1,2,0,1,4,1,7,13874838990000.0,199278000,69625.54316081053
2,1,2,4,1,6,2,761417810000.0,2085000,365188.3980815348
1,1,2,2,4,5,9,38251918510000.0,1456846000,26256.66577661606
1,1,4,1,5,6,9,290958380000.0,902000,322570.266075388
2,1,3,4,1,5,2,1358354020000.0,11500000,118117.74086956521
1,1,1,4,4,2,9,29444994810000.0,316102000,93150.29582223459
1,2,0,5,7,1,7,388244940000.0,37000,10493106.486486487
1,1,0,0,4,6,9,176813578630000.0,593908000,297712.0675761229
1,2,1,2,5,1,7,127121080000.0,83000,1531579.2771084337
2,1,1,5,1,7,5,4789080000.0,5000,957816.0
1,1,2,4,4,6,9,4176969890000.0,18533000,225380.12680084174
1,2,2,3,2,1,7,169900000.0,8000,21237.5
1,1,4,5,7,3,9,2412759670000.0,8283000,291290.55535434023
1,2,2,5,4,1,7,236560000.0,3000,78853.33333333333
1,2,5,1,2,1,7,318504390000.0,64000,4976631.09375
1,1,4,0,3,4,9,493129660000.0,1470000,335462.3537414966
2,1,4,4,1,4,2,188281905370000.0,525461000,358317.56375829986
1,1,0,3,6,2,9,26879090000.0,108000,248880.46296296295
1,1,1,0,2,4,9,91240100000.0,720000,126722.36111111111
1,1,0,3,3,0,9,300000.0,2000,150.0
1,1,5,0,4,4,9,895659940000.0,14957000,59882.32533262018
2,1,4,0,1,6,5,28326130000.0,27000,1049115.9259259258
1,1,2,3,7,6,9,65434670000.0,51000,1283032.7450980393
2,2,4,3,1,1,0,99083730000.0,295000,335877.0508474576
1,1,1,1,6,4,9,327954795280000.0,2199311000,149117.06224358446
1,1,1,1,3,5,9,84832688810000.0,3654707000,23211.898740446224
1,2,4,5,6,1,7,198660861530000.0,191543000,1037160.645546953
2,1,2,1,1,2,2,15227186720000.0,117844000,129214.78157564238
2,1,2,2,1,6,2,13481023950000.0,112083000,120277.15130751318
1,2,2,4,6,1,8,918994300000.0,784000,1172186.607142857
1,1,3,4,5,3,9,6824960000.0,18000,379164.44444444444
1,2,1,4,5,1,7,200000000.0,7000,28571.428571428572
1,1,4,3,3,4,9,3713580830000.0,8688000,427437.9408379374
1,1,4,3,3,7,9,168125620000.0,324000,518906.23456790124
1,1,4,4,6,7,9,17510908740000.0,459163000,38136.584916467575
1,2,0,0,2,1,8,36968060000.0,149000,248107.78523489932
1,1,1,5,7,6,9,639876260000.0,1504000,425449.6409574468
2,1,5,5,1,6,2,10145121350000.0,22133000,458370.8195906565
1,1,3,1,6,4,9,22901660000.0,425000,53886.25882352941
2,1,4,1,1,2,2,84830650000.0,1373000,61784.887108521485
1,2,4,2,5,1,8,1447812420000.0,2049000,706594.6412884333
1,1,4,5,7,7,9,161444670000.0,1308000,123428.64678899082
2,1,0,4,1,2,2,1500378620000.0,4030000,372302.3870967742
1,1,0,3,4,2,9,31800150000.0,202000,157426.48514851485
1,1,0,5,7,3,9,3339440000.0,41000,81449.75609756098
1,2,2,4,5,1,7,529630000.0,2000,264815.0
1,2,2,2,2,1,8,7746360000.0,50000,154927.2
2,1,0,4,1,3,2,317428280000.0,3282000,96717.94028031688
2,1,3,0,1,5,2,355950000.0,6000,59325.0
1,2,4,0,7,1,8,3402080000.0,63000,54001.269841269845
1,1,3,5,2,4,9,4843750000.0,89000,54424.15730337079
1,2,3,1,4,1,7,5147365140000.0,4904000,1049625.844208809
1,2,5,0,4,1,7,9887620000.0,33000,299624.8484848485
1,2,0,4,6,1,7,2673430000.0,123000,21735.20325203252
1,1,2,3,7,6,9,284414680000.0,632000,450023.2278481013
1,1,4,4,3,2,9,13007735100000.0,277653000,46848.8908817841
2,1,2,5,1,7,2,94731390000.0,434000,218275.09216589862
1,1,4,2,7,2,9,60752190000.0,744000,81656.16935483871
1,1,5,2,4,4,9,321099640000.0,9348000,34349.55498502353
2,1,1,3,1,7,2,730700000.0,26000,28103.846153846152
1,1,4,0,4,4,9,2870922110000.0,49872000,57565.810675328845
1,2,0,0,4,1,7,10784269120000.0,6333000,1702868.9594189168
1,1,4,4,7,3,9,2809357060000.0,9774000,287431.6615510538
1,1,1,4,4,7,9,85267986470000.0,328922000,259234.67104663112
2,1,1,3,1,3,2,252544430000.0,1260000,200432.0873015873
1,1,3,4,4,5,9,2059696590000.0,3024000,681116.5972222222
1,1,4,4,7,2,9,4032700360000.0,33074000,121929.62326903308
1,1,3,4,7,5,9,41812300000.0,258000,162063.17829457365
2,1,1,5,1,7,5,118862780000.0,6000,19810463.333333332
2,2,5,0,1,1,0,15521902070000.0,16482000,941748.6997937143
1,2,2,5,7,1,7,22589972800000.0,15024000,1503592.4387646432
1,1,1,0,5,4,9,1536507170000.0,35245000,43595.03958008228
1,1,4,4,4,7,9,12118836430000.0,26671000,454382.52896404336
2,1,4,0,1,6,5,613160000.0,3000,204386.66666666666
1,1,2,3,2,3,9,11268670000.0,244000,46183.07377049181
1,1,0,2,7,7,9,85853610000.0,1127000,76178.8908606921
1,2,0,5,4,1,8,5149650000.0,65000,79225.38461538461
2,1,1,1,1,6,2,9931852100000.0,161689000,61425.65109562184
1,1,5,1,4,2,9,559355460000.0,6706000,83411.19296152699
2,1,0,1,1,4,5,5099483720000.0,5664000,900332.5776836158
1,1,3,4,7,5,9,5302701560000.0,6016000,881433.1050531915
1,1,1,5,3,2,9,91363680000.0,1970000,46377.502538071065
1,1,0,4,7,4,9,89059610000.0,110000,809632.8181818182
1,1,2,5,3,4,9,153950710000.0,637000,241680.863422292
1,2,1,1,7,1,7,196326806070000.0,342141000,573818.4142502652
1,1,4,4,0,4,9,6077230000.0,18000,337623.8888888889
2,1,5,2,1,4,2,195841641300000.0,559794000,349845.9099240078
1,1,3,1,0,5,9,110000000.0,2000,55000.0
1,1,2,4,2,7,9,42437170000.0,2133000,19895.532114392874
1,1,2,3,2,5,9,141500550000.0,1165000,121459.69957081546
1,2,5,4,6,1,7,7218670000.0,486000,14853.230452674898
1,2,5,4,3,1,7,2119787898220000.0,32444495000,65335.82656225655
1,1,5,4,2,3,9,1141625820000.0,14654000,77905.4060324826
1,1,1,1,4,6,9,432108360730000.0,2763859000,156342.40412770695
1,1,2,0,5,4,9,1222134240000.0,21913000,55772.10970656688
2,1,1,3,1,4,2,4928036930000.0,8341000,590820.8763937178
1,2,5,0,5,1,7,56814450870000.0,51774000,1097354.8667284737
1,1,1,2,7,2,9,1427022690000.0,10834000,131717.0657190327
1,1,5,5,2,6,9,103105708950000.0,700537000,147180.9611055519
1,2,0,0,2,1,7,1595594480000.0,3036000,525558.1291172595
1,1,5,5,7,6,9,2036237900000.0,34812000,58492.41353556245
1,2,1,1,6,1,8,83510252960000.0,170281000,490426.1365625055
2,2,5,0,1,1,0,1341245432160000.0,59905000,22389540.642016526
1,1,1,5,6,4,9,15268284350000.0,57793000,264189.1639125846
1,2,2,1,4,1,7,1200000000.0,1000,1200000.0
1,2,3,2,5,1,8,21143670000.0,52000,406609.03846153844
2,1,2,4,1,6,5,199900000.0,1000,199900.0
1,2,0,0,3,1,7,22538880000.0,61000,369489.8360655738
1,1,5,5,3,7,9,404610435600000.0,1494021000,270819.7780352485
2,1,0,3,1,6,5,301808980000.0,20000,15090449.0
1,1,2,0,4,3,9,1188366330000.0,21647000,54897.50681387721
1,2,1,1,2,1,7,1890000000.0,5000,378000.0
1,1,3,2,7,4,9,11234910000.0,98000,114641.9387755102
1,2,3,1,5,1,8,257800000.0,4000,64450.0
1,1,4,5,2,4,9,95884090000.0,785000,122145.33757961783
1,2,1,1,4,1,7,124278090000.0,718000,173089.2618384401
1,2,5,5,7,1,7,93702140000.0,431000,217406.35730858467
1,1,0,5,6,6,9,19143024310000.0,30322000,631324.5930347602
1,1,0,4,5,2,9,353479010000.0,4206000,84041.60960532572
1,2,1,5,4,1,7,389701750000.0,416000,936783.0528846154
1,1,5,4,6,5,9,98124730000.0,315000,311507.07936507935
1,1,2,0,2,6,9,240712780000.0,2795000,86122.6404293381
1,1,3,1,7,3,9,692694010000.0,2043000,339057.27361722954
1,1,3,2,6,6,9,397896400000.0,1247000,319082.9190056135
1,2,5,0,6,1,7,7326449960000.0,21108000,347093.5171498958
1,1,1,5,4,6,9,602560190000.0,15587000,38657.868095207545
1,1,3,0,2,5,9,888270000.0,42000,21149.285714285714
1,1,1,5,4,4,9,157721260000.0,815000,193523.01840490798
1,1,5,0,3,7,9,3858278510000.0,12829000,300746.62951126357
1,1,1,1,5,2,9,12028875240000.0,239204000,50287.09904516647
1,1,1,3,6,5,9,404027500000.0,1616000,250017.01732673266
1,1,3,1,0,3,9,1089000000.0,21000,51857.142857142855
1,1,3,1,2,2,9,9606990000.0,176000,54585.170454545456
2,1,0,0,1,6,5,11198823750000.0,3419000,3275467.6074875696
1,2,0,4,7,1,7,298842244330000.0,2751217000,108621.83692889365
1,1,3,3,4,2,9,7575370000.0,32000,236730.3125
1,1,5,4,2,4,9,7230831410000.0,71915000,100546.91524716679
1,1,4,3,4,7,9,11779400000.0,286000,41186.71328671329
1,1,1,0,6,5,9,4436408930000.0,18900000,234730.63121693122
1,2,2,0,3,1,8,43043780000.0,551000,78119.38294010889
1,2,0,0,7,1,8,75040727700000.0,103173000,727329.1238986944
1,1,1,2,3,6,9,784116260000.0,33513000,23397.375943663654
1,1,1,5,2,2,9,10068080000.0,547000,18405.99634369287
1,1,5,1,7,7,9,49199450000.0,850000,57881.705882352944
1,2,2,2,4,1,7,500000000.0,1000,500000.0
1,1,2,4,5,7,9,3851704110000.0,8373000,460014.82264421356
1,1,1,0,2,6,9,266890380000.0,14094000,18936.45381013197
2,2,4,0,1,1,1,7544680000.0,60000,125744.66666666667
1,2,2,2,7,1,7,174173124450000.0,1426974000,122057.67200383468
1,1,5,4,6,0,9,1094920000.0,2000,547460.0
1,1,2,4,5,3,9,393871130000.0,10823000,36392.047491453384
1,1,4,2,3,2,9,128960300000.0,5784000,22296.040802213003
1,1,5,0,5,2,9,3151573520000.0,18712000,168425.2629328773
1,1,5,2,2,3,9,569546850000.0,6697000,85045.07242048679
1,1,1,5,7,7,9,24179570000.0,565000,42795.69911504425
1,1,4,4,5,5,9,1.025544564567e+16,21589087000,475029.14994367294
1,1,3,3,4,7,9,184129040000.0,631000,291805.1347068146
1,1,4,2,2,3,9,3665748960000.0,66888000,54804.28417653391
1,1,3,4,0,6,9,4663490000.0,12000,388624.1666666667
1,2,0,0,3,1,7,1161350681060000.0,3051087000,380635.05926248577
1,1,1,3,3,5,9,1079948720000.0,4847000,222807.65834536828
1,2,1,0,7,1,8,3761630000.0,40000,94040.75
2,1,5,2,1,7,2,41002139840000.0,22134000,1852450.5213698382
1,1,0,1,2,5,9,37128490000.0,642000,57832.538940809965
1,1,3,3,5,6,9,103769310000.0,449000,231112.04899777283
1,1,0,1,2,5,9,467825080000.0,19562000,23914.992332072386
1,1,2,4,5,5,9,1359701260000.0,22089000,61555.582416587444
2,1,2,0,1,3,2,120239040000.0,1219000,98637.4405250205
1,2,4,1,7,1,8,2427950000.0,1000,2427950.0
1,1,1,3,2,6,9,5206720000.0,101000,51551.683168316835
2,1,3,4,1,6,2,1683392700000.0,7373000,228318.55418418554
1,1,2,3,4,6,9,6943650000.0,308000,22544.31818181818
1,1,3,0,3,7,9,83601510000.0,173000,483245.7225433526
1,2,5,5,5,1,7,10839510220000.0,5895000,1838763.3960983884
1,1,3,2,3,2,9,536400000.0,15000,35760.0
1,1,1,0,6,5,9,606373940000.0,12181000,49780.308677448484
1,2,1,1,7,1,7,20000440000.0,77000,259745.97402597402
1,1,3,0,5,3,9,136967510000.0,486000,281826.1522633745
1,2,4,0,3,1,7,37397440000.0,189000,197870.0529100529
1,2,5,5,6,1,7,125065860000.0,540000,231603.44444444444
1,2,0,4,4,1,7,282388756120000.0,1393420000,202658.7504987728
1,1,5,2,7,4,9,267863500000.0,1747000,153327.70463651975
1,1,2,4,7,6,9,14242980130000.0,27535000,517268.20882513165
1,1,4,1,4,3,9,999544340000.0,5919000,168870.47474235512
1,1,4,0,4,5,9,375595510000.0,1006000,373355.3777335984
2,2,4,1,1,1,0,22911033790000.0,90933000,251955.10749672836
2,2,1,0,1,1,0,1848818545140000.0,708511000,2609442.2600919395
1,1,4,0,7,6,9,58693290000.0,103000,569837.7669902913
1,2,4,5,2,1,7,824671390000.0,3754000,219678.0474160895
1,2,3,1,6,1,7,9998439660000.0,2279000,4387204.765247916
2,1,5,3,1,7,2,3511415580000.0,1669000,2103903.8825644096
1,1,2,1,3,5,9,37645412920000.0,189351000,198812.85506810105
1,2,5,4,4,1,8,121105020000.0,153000,791536.0784313725
1,2,2,0,7,1,7,3993790000.0,29000,137716.89655172414
1,1,0,4,3,3,9,533073860000.0,2790000,191065.89964157707
1,1,2,0,5,7,9,296341190000.0,8883000,33360.48519644264
1,1,3,4,4,5,9,49796010000.0,44000,1131727.5
1,1,3,2,5,4,9,424098680000.0,2303000,184150.53408597482
1,1,4,3,4,5,9,6927015520000.0,10047000,689461.0849009654
2,1,5,0,1,4,2,132498961440000.0,77387000,1712160.4589918202
2,1,2,0,1,5,5,6203460000.0,9000,689273.3333333334
2,2,4,5,1,1,4,205070000.0,2000,102535.0
1,1,4,2,6,2,9,10908380000.0,240000,45451.583333333336
