;AnoMes;PAG_PFPJ;REC_PFPJ;PAG_REGIAO;REC_REGIAO;PAG_IDADE;REC_IDADE;FORMAINICIACAO;NATUREZA;FINALIDADE;VALOR;QUANTIDADE
1946;2025-01-01 00:00:00;PF;PF;NORTE;NORTE;mais de 60 anos;até 19 anos;Nao disponivel;P2P;Nao disponivel;25495800000,0;379000
1947;2025-01-01 00:00:00;PF;PJ;NORTE;CENTRO-OESTE;entre 50 e 59 anos;Nao se aplica;QRDN;P2B;Pix;50316064170000,0;1036658000
1948;2025-01-01 00:00:00;PF;PJ;SUDESTE;SUL;até 19 anos;Nao se aplica;QRES;P2B;Pix;16091118480000,0;142236000
1949;2025-01-01 00:00:00;PF;PF;Nao informado;Nao informado;entre 20 e 29 anos;mais de 60 anos;MANU;P2P;Pix;34407260000,0;281000
1950;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;Nao informado;entre 30 e 39 anos;entre 30 e 39 anos;QRDN;P2P;Pix;35691710000,0;245000
1951;2025-01-01 00:00:00;PF;PF;NORTE;NORTE;até 19 anos;mais de 60 anos;DICT;P2P;Pix;20700013400000,0;244031000
1952;2025-01-01 00:00:00;PF;PF;NORTE;Nao informado;mais de 60 anos;entre 40 e 49 anos;QRDN;P2P;Pix;2329510000,0;29000
1953;2025-01-01 00:00:00;PJ;PF;SUDESTE;NORDESTE;Nao se aplica;mais de 60 anos;DICT;B2P;Pix;254985234380000,0;1134307000
1954;2025-01-01 00:00:00;PJ;PJ;NORTE;SUDESTE;Nao se aplica;Nao se aplica;QRES;G2B;Pix;7955330000,0;15000
1955;2025-01-01 00:00:00;PJ;PF;SUL;SUL;Nao se aplica;entre 30 e 39 anos;Nao disponivel;G2P;Nao disponivel;1841860000,0;22000
1956;2025-01-01 00:00:00;PF;PF;NORTE;Nao informado;entre 40 e 49 anos;até 19 anos;QRDN;P2P;Pix;83000000,0;9000
1957;2025-01-01 00:00:00;PF;PJ;SUDESTE;NORDESTE;entre 20 e 29 anos;Nao se aplica;DICT;P2B;Pix;113864447420000,0;264445000
1958;2025-01-01 00:00:00;PF;PF;Nao informado;SUDESTE;entre 50 e 59 anos;mais de 60 anos;MANU;P2P;Pix;1880131010000,0;1429000
1959;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;CENTRO-OESTE;entre 20 e 29 anos;até 19 anos;Nao disponivel;P2P;Nao disponivel;801882570000,0;7625000
1960;2025-01-01 00:00:00;PF;PF;NORDESTE;CENTRO-OESTE;entre 30 e 39 anos;entre 50 e 59 anos;MANU;P2P;Pix;9251980090000,0;42873000
1961;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;NORTE;entre 40 e 49 anos;mais de 60 anos;MANU;P2P;Pix;4871307800000,0;6615000
1962;2025-01-01 00:00:00;PF;PJ;NORTE;NORTE;entre 50 e 59 anos;Nao se aplica;DICT;P2G;Pix;145198830000,0;496000
1963;2025-01-01 00:00:00;PF;PJ;NORDESTE;NORTE;até 19 anos;Nao se aplica;Nao disponivel;P2B;Nao disponivel;31305600000,0;97000
1964;2025-01-01 00:00:00;PF;PF;NORDESTE;CENTRO-OESTE;entre 40 e 49 anos;entre 50 e 59 anos;QRES;P2P;Pix;981669340000,0;26412000
1965;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;CENTRO-OESTE;entre 40 e 49 anos;entre 20 e 29 anos;MANU;P2P;Pix;124174897610000,0;714415000
1966;2025-01-01 00:00:00;PF;PF;Nao informado;NORTE;entre 40 e 49 anos;entre 30 e 39 anos;DICT;P2P;Pix;2146503140000,0;7161000
1967;2025-01-01 00:00:00;PF;PF;SUDESTE;SUDESTE;entre 20 e 29 anos;mais de 60 anos;Nao disponivel;P2P;Nao disponivel;8010009330000,0;19555000
1968;2025-01-01 00:00:00;PF;PF;SUDESTE;SUL;entre 40 e 49 anos;entre 40 e 49 anos;Nao disponivel;P2P;Nao disponivel;507383910000,0;938000
1969;2025-01-01 00:00:00;PF;PF;Nao informado;NORDESTE;entre 50 e 59 anos;entre 20 e 29 anos;QRES;P2P;Pix;19702680000,0;336000
1970;2025-01-01 00:00:00;PF;PF;NORDESTE;CENTRO-OESTE;entre 50 e 59 anos;entre 20 e 29 anos;MANU;P2P;Pix;2362400960000,0;19023000
1971;2025-01-01 00:00:00;PJ;PF;Nao informado;Nao informado;Nao se aplica;entre 20 e 29 anos;Nao disponivel;B2P;Nao disponivel;29000000,0;3000
1972;2025-01-01 00:00:00;PF;PF;NORTE;Nao informado;mais de 60 anos;entre 30 e 39 anos;MANU;P2P;Pix;98085410000,0;914000
1973;2025-01-01 00:00:00;PF;PF;NORTE;CENTRO-OESTE;até 19 anos;entre 40 e 49 anos;Nao disponivel;P2P;Nao disponivel;17861630000,0;255000
1974;2025-01-01 00:00:00;PJ;PF;CENTRO-OESTE;SUDESTE;Nao se aplica;entre 40 e 49 anos;DICT;G2P;Pix;25287839090000,0;11704000
1975;2025-01-01 00:00:00;PF;PF;NORTE;SUDESTE;entre 20 e 29 anos;entre 40 e 49 anos;QRDN;P2P;Pix;837605380000,0;32159000
1976;2025-01-01 00:00:00;PF;PJ;Nao informado;Nao informado;entre 30 e 39 anos;Nao se aplica;DICT;P2B;Pix;107708380000,0;760000
1977;2025-01-01 00:00:00;PF;PF;SUDESTE;NORTE;entre 50 e 59 anos;entre 20 e 29 anos;QRDN;P2P;Pix;155979800000,0;3959000
1978;2025-01-01 00:00:00;PF;PF;NORTE;SUDESTE;entre 20 e 29 anos;mais de 60 anos;Nao disponivel;P2P;Nao disponivel;92007820000,0;269000
1979;2025-01-01 00:00:00;PF;PJ;CENTRO-OESTE;SUL;entre 40 e 49 anos;Nao se aplica;QRDN;P2B;Pix;255937782120000,0;2333636000
1980;2025-01-01 00:00:00;PF;PJ;SUL;CENTRO-OESTE;entre 20 e 29 anos;Nao se aplica;QRES;P2G;Pix;10650480000,0;183000
1981;2025-01-01 00:00:00;PF;PJ;SUDESTE;CENTRO-OESTE;entre 30 e 39 anos;Nao se aplica;Nao disponivel;P2B;Nao disponivel;761711370000,0;973000
1982;2025-01-01 00:00:00;PF;PJ;SUL;SUDESTE;entre 50 e 59 anos;Nao se aplica;Nao disponivel;P2B;Nao disponivel;499323550000,0;428000
1983;2025-01-01 00:00:00;PF;PF;Nao informado;Nao informado;até 19 anos;entre 50 e 59 anos;MANU;P2P;Pix;55805910000,0;187000
1984;2025-01-01 00:00:00;PF;PJ;SUDESTE;SUL;entre 30 e 39 anos;Nao se aplica;QRES;P2B;Pix Saque;120000000,0;1000
1985;2025-01-01 00:00:00;PF;PJ;NORTE;CENTRO-OESTE;entre 40 e 49 anos;Nao se aplica;DICT;P2G;Pix;226072200000,0;18000
1986;2025-01-01 00:00:00;PF;PF;SUL;SUL;entre 40 e 49 anos;entre 40 e 49 anos;MANU;P2P;Pix;2038310203150000,0;4303189000
1987;2025-01-01 00:00:00;PJ;PJ;SUL;CENTRO-OESTE;Nao se aplica;Nao se aplica;MANU;B2G;Pix;1258928350000,0;144000
1988;2025-01-01 00:00:00;PF;PF;SUDESTE;NORTE;entre 20 e 29 anos;até 19 anos;Nao disponivel;P2P;Nao disponivel;35491600000,0;1494000
1989;2025-01-01 00:00:00;PF;PJ;SUL;CENTRO-OESTE;mais de 60 anos;Nao se aplica;QRDN;P2B;Pix Troco;100000000,0;1000
1990;2025-01-01 00:00:00;PJ;PF;Nao informado;SUDESTE;Nao se aplica;mais de 60 anos;MANU;B2P;Pix;293647950000,0;94000
1991;2025-01-01 00:00:00;PJ;PF;NORTE;SUL;Nao se aplica;mais de 60 anos;Nao disponivel;B2P;Nao disponivel;18337080000,0;44000
1992;2025-01-01 00:00:00;PF;PJ;Nao informado;NORDESTE;até 19 anos;Nao se aplica;QRDN;P2B;Pix;74242010000,0;1977000
1993;2025-01-01 00:00:00;PF;PF;NORTE;SUDESTE;entre 20 e 29 anos;entre 20 e 29 anos;QRES;P2P;Pix;2689435630000,0;36203000
1994;2025-01-01 00:00:00;PF;PF;SUL;CENTRO-OESTE;entre 30 e 39 anos;até 19 anos;QRDN;P2P;Pix;70702560000,0;919000
1995;2025-01-01 00:00:00;PF;PF;Nao informado;NORDESTE;Nao informado;mais de 60 anos;MANU;P2P;Pix;490000000,0;2000
1996;2025-01-01 00:00:00;PJ;PJ;NORDESTE;CENTRO-OESTE;Nao se aplica;Nao se aplica;QRDN;B2G;Pix;1193515007280000,0;595767000
1997;2025-01-01 00:00:00;PF;PF;SUL;SUDESTE;entre 40 e 49 anos;entre 40 e 49 anos;DICT;P2P;Pix;116529170090000,0;305608000
1998;2025-01-01 00:00:00;PF;PF;NORTE;NORDESTE;entre 50 e 59 anos;até 19 anos;MANU;P2P;Pix;332836190000,0;4365000
1999;2025-01-01 00:00:00;PJ;PF;SUDESTE;CENTRO-OESTE;Nao se aplica;Nao informado;MANU;B2P;Pix;8037610000,0;1000
2000;2025-01-01 00:00:00;PF;PF;Nao informado;CENTRO-OESTE;até 19 anos;entre 20 e 29 anos;DICT;P2P;Pix;20847920000,0;256000
2001;2025-01-01 00:00:00;PF;PJ;NORTE;NORTE;entre 20 e 29 anos;Nao se aplica;DICT;P2G;Pix;129245110000,0;560000
2002;2025-01-01 00:00:00;PF;PF;SUL;Nao informado;até 19 anos;entre 40 e 49 anos;MANU;P2P;Pix;22668960000,0;191000
2003;2025-01-01 00:00:00;PF;PJ;SUDESTE;NORDESTE;entre 40 e 49 anos;Nao se aplica;QRES;P2B;Pix Saque;3839410000,0;23000
2004;2025-01-01 00:00:00;PF;PF;SUDESTE;CENTRO-OESTE;entre 40 e 49 anos;entre 20 e 29 anos;QRES;P2P;Pix;1188818390000,0;17865000
2005;2025-01-01 00:00:00;PF;PF;NORDESTE;SUDESTE;Nao informado;mais de 60 anos;QRDN;P2P;Pix;55900000,0;1000
2006;2025-01-01 00:00:00;PF;PJ;CENTRO-OESTE;NORDESTE;entre 20 e 29 anos;Nao se aplica;DICT;P2B;Pix;33240118570000,0;72950000
2007;2025-01-01 00:00:00;PF;PF;NORTE;SUL;entre 40 e 49 anos;mais de 60 anos;DICT;P2P;Pix;13403602530000,0;26114000
2008;2025-01-01 00:00:00;PF;PJ;NORDESTE;NORDESTE;entre 50 e 59 anos;Nao se aplica;Nao disponivel;P2B;Nao disponivel;5402044600000,0;2722000
2009;2025-01-01 00:00:00;PF;PF;SUL;CENTRO-OESTE;entre 30 e 39 anos;entre 40 e 49 anos;QRES;P2P;Pix;620442670000,0;10693000
2010;2025-01-01 00:00:00;PF;PF;SUL;CENTRO-OESTE;mais de 60 anos;até 19 anos;Nao disponivel;P2P;Nao disponivel;6154240000,0;72000
